ROW;COLUMN;Well_in_name;Well;Nr
B;2;B02;1;1
B;3;B03;2;2
B;4;B04;3;3
B;5;B05;4;4
B;6;B06;5;5
B;7;B07;6;6
B;8;B08;7;7
B;9;B09;8;8
B;10;B10;9;9
B;11;B11;10;10
C;2;C02;20;20
C;3;C03;19;19
C;4;C04;18;18
C;5;C05;17;17
C;6;C06;16;16
C;7;C07;15;15
C;8;C08;14;14
C;9;C09;13;13
C;10;C10;12;12
C;11;C11;11;11
D;2;D02;21;21
D;3;D03;22;22
D;4;D04;23;23
D;5;D05;24;24
D;6;D06;25;25
D;7;D07;26;26
D;8;D08;27;27
D;9;D09;28;28
D;10;D10;29;29
D;11;D11;30;30
E;2;E02;40;40
E;3;E03;39;39
E;4;E04;38;38
E;5;E05;37;37
E;6;E06;36;36
E;7;E07;35;35
E;8;E08;34;34
E;9;E09;33;33
E;10;E10;32;32
E;11;E11;31;31
